scenario_group,valve_context,thickness_mm,pore_index_0_1,degradation_half_life_months,material_risk_index_0_1,morphology_index_0_1,target_gradient_mmHg,predicted_gradient_mmHg,effective_orifice_area_cm2,residual_Mw_12m_percent,integration_12m_index_0_1,region_specificity_hinge_belly_ratio,regurgitation_fraction_percent,failure_risk_0_1,objective_score,feasible,result_type
full_data_informed,aortic_high_pressure,0.6137904474109088,0.8270815225255372,58.276074930684196,0.03589574604535989,0.6129831932956393,32.75,31.78198398343062,2.2950462603275175,85.6708528610172,0.9212759029289507,5.889103344149537,13.469644828245901,0.04477218558166726,0.6423135891039965,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.42725559009355607,0.9183443703585806,55.09865877496394,0.04398833887926963,0.5789779689489071,32.75,29.234591054507067,2.6739875501533388,86.83422483167021,0.8595974452595325,3.586870780945995,12.355053393159219,0.033273651589312656,0.6293081701098346,1,scenario_model_generated_from_literature_calibrated_priors
full_data_informed,aortic_high_pressure,0.5948274427913672,0.8297115097904523,65.33185699642814,0.0694906773753926,0.6120307699475607,32.75,31.45399855329256,2.4220733022666074,87.40829404390304,0.8790452356601701,2.756772175912105,6.896751666167595,0.09025438269675286,0.6228889303571262,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.7841821610425027,0.8406025964135085,66.68053047223152,0.0119600135762218,0.7279908317842051,32.75,37.81281283611892,2.0145832736550964,93.40124108491965,0.906606002037748,6.091067998897463,10.070945088296773,0.048062498214779474,0.6224283531006426,1,scenario_model_generated_from_literature_calibrated_priors
full_data_informed,aortic_high_pressure,0.5754716728814844,0.8052016916029412,64.86846144095726,0.011095748347793734,0.46193180748596957,32.75,34.17071987865584,2.470548807910625,90.07870734911238,0.8233931088023442,2.2920151248726617,8.652495661224597,0.02558966882617193,0.6213065212824734,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.6008254587370254,0.7596676588182124,82.72961262086673,0.14094055077521325,0.4508000121055159,32.75,31.573198238573706,2.3752245066979456,89.4463644870878,0.8585934127199841,5.641567088000456,14.985985681643532,0.02803338664922571,0.6203013834427765,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.6226228771342398,0.778780637372036,54.10358255051363,0.21748940991197444,0.9401192886013942,32.75,30.97879508750821,2.212611844825574,83.64434592441582,0.9315518590737148,6.5987761568637735,8.45589248353955,0.05461850886746327,0.6198141703746943,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.6084299029273156,0.5527294560856942,64.56223644027833,0.08141530417690458,0.8836100543045143,32.75,35.80980921282603,2.2316141115564316,90.2942064981436,0.8629248562310499,4.527358751738199,12.663451767827228,0.027742735923805644,0.6143751401366093,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.5992327463236974,0.9093039633761988,78.48339003352264,0.039586085197789486,0.9518854012946338,32.75,31.22665372837936,2.305782893707378,89.28050902041845,0.8513747058403424,5.464218637454934,6.04446909085258,0.07457213462263619,0.6128912822228431,1,scenario_model_generated_from_literature_calibrated_priors
hydrodynamic_only,aortic_high_pressure,0.5231192931121716,0.9525301446714877,42.796245879902955,0.08533230937009649,0.8023423743379211,32.75,33.730358543779644,2.393305396842386,83.93234787898976,0.8601273561877438,3.8161609601799333,9.28950619397013,0.058566568102427954,0.6122075965343005,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.41615210849489537,0.8821336011818981,77.34054864552942,0.07241957655601765,0.8279615494139324,32.75,21.99556995915627,2.708180859430088,91.33179556783351,0.8656501077701627,3.7405324185002398,11.293991615854289,0.044429242541425024,0.6110715301381392,1,scenario_model_generated_from_literature_calibrated_priors
full_data_informed,aortic_high_pressure,0.5834849705098121,0.8922740964405826,66.75460981889346,0.08557724016246875,0.4676468629573694,32.75,34.75082582773164,2.3853992079600337,90.13713235738983,0.8314891451731221,1.7808469724781046,6.421340272089882,0.049833661122432246,0.6085914044129457,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.45606729749902486,0.8901280567824136,59.02303761830557,0.10404782326717124,0.9243328163493918,32.75,24.889488221360637,2.698326462819221,90.83054932433204,0.8473888887230682,8.100577213771146,10.84393642579854,0.05562587095083124,0.6082888047554986,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.5594205573170734,0.8713925117682463,66.25772737692766,0.10987036262944518,0.8156752460106919,32.75,31.237668571536158,2.2329251815499633,86.61416310366307,0.8595348131631189,8.171301852734741,10.940710482030235,0.05032074168249174,0.6061740594469202,1,scenario_model_generated_from_literature_calibrated_priors
