scenario_group,objective_score_mean,predicted_gradient_mmHg_mean,effective_orifice_area_cm2_mean,residual_Mw_12m_percent_mean,integration_12m_index_0_1_mean,regurgitation_fraction_percent_mean,failure_risk_0_1_mean,feasible_mean,objective_score_median,objective_score_sd,objective_score_n,predicted_gradient_mmHg_median,predicted_gradient_mmHg_sd,predicted_gradient_mmHg_n,effective_orifice_area_cm2_median,effective_orifice_area_cm2_sd,effective_orifice_area_cm2_n,residual_Mw_12m_percent_median,residual_Mw_12m_percent_sd,residual_Mw_12m_percent_n,integration_12m_index_0_1_median,integration_12m_index_0_1_sd,integration_12m_index_0_1_n,regurgitation_fraction_percent_median,regurgitation_fraction_percent_sd,regurgitation_fraction_percent_n,failure_risk_0_1_median,failure_risk_0_1_sd,failure_risk_0_1_n,feasible_median,feasible_sd,feasible_n
baseline,0.04232633710233414,16.736856685690245,2.3036529779018076,64.93567650536036,0.5440730446659373,12.167891786263215,0.3866337835978875,0.2708333333333333,0.11115530248644998,0.3416796274424691,1200,10.15692032838335,14.401791706520777,1200,2.320351637016752,0.4695756144528084,1200,68.71182122905695,12.434525189401446,1200,0.5475180551977035,0.14190439188888537,1200,12.018947089322062,3.460332929210791,1200,0.3306827811518245,0.27718997674341894,1200,0.0,0.44457546604567605,1200
biology_only,0.22696848483053103,18.419396848372934,2.1677721498561286,85.08062639413228,0.7006792884066033,10.95730006288852,0.1008377893124483,0.8333333333333334,0.2562171701252357,0.338922361814217,1200,10.056987815013223,15.039231714934612,1200,2.160501380248382,0.3455042829446663,1200,85.28632006261302,3.7689820724268235,1200,0.7116439921575164,0.10777641682349227,1200,10.848621823100242,3.0461761222911843,1200,0.06552173206555863,0.09977090133770934,1200,1.0,0.37283337586741017,1200
full_data_informed,0.2974127142189917,17.990689515960238,2.150723431843567,85.62997256360983,0.7182179140519819,10.593266042493203,0.07030959808888489,0.9675,0.2644011413438033,0.23798102894725318,1200,7.064128791735411,15.093488924492956,1200,2.1494899805187853,0.23052920401071791,1200,85.75118001590074,3.2068596179226323,1200,0.7239437536873099,0.06826763014549292,1200,10.618137912193522,2.8009594488300738,1200,0.05802339549153954,0.04457002200964833,1200,1.0,0.17739778741334217,1200
hydrodynamic_only,0.16541195384846938,17.6651366179106,2.2601865547029814,69.53250556774103,0.6007065024647186,10.761183855732513,0.23337773942459505,0.5025,0.19476879686996396,0.28566743032370545,1200,9.004290882407892,14.421885305376032,1200,2.257951454592704,0.31526463437572855,1200,72.31291856050575,11.054171207355525,1200,0.6102792031935965,0.1322895542063468,1200,10.455351525293047,3.057461861173544,1200,0.17008327122988226,0.20118607079469822,1200,1.0,0.5002022109872802,1200
